Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,22.48,22.5,22.0,22.0,22.0,45330
2019-05-13,21.5,21.5,20.219999,20.219999,20.219999,63249
2019-05-14,20.24,20.459999,19.0,19.5,19.5,45902
2019-05-15,20.0,20.52,19.700001,20.0,20.0,77591
2019-05-16,20.08,20.5,20.08,20.34,20.34,33619
2019-05-20,19.24,19.4,19.24,19.4,19.4,24477
2019-05-21,19.82,20.700001,19.620001,20.6,20.6,64549
2019-05-22,20.4,20.4,19.98,20.0,20.0,67762
2019-05-23,19.76,20.0,19.700001,19.9,19.9,28132
2019-05-27,19.299999,19.440001,19.0,19.440001,19.440001,38075
2019-05-28,19.98,20.0,19.459999,19.5,19.5,29023
2019-05-29,19.6,19.68,19.32,19.5,19.5,116790
2019-05-30,19.5,19.6,19.360001,19.440001,19.440001,48294
2019-06-03,19.5,19.6,19.360001,19.440001,19.440001,48294
2019-06-04,19.440001,19.440001,19.440001,19.440001,19.440001,0
2019-06-05,19.440001,19.440001,19.440001,19.440001,19.440001,0
2019-06-06,19.440001,19.440001,19.440001,19.440001,19.440001,0
2019-06-10,20.1,20.34,20.059999,20.24,20.24,75013
2019-06-11,20.34,20.6,20.34,20.459999,20.459999,49622
2019-06-12,20.42,20.82,20.4,20.6,20.6,103115
2019-06-13,20.299999,20.42,20.059999,20.059999,20.059999,67197
2019-06-17,20.08,20.32,20.08,20.280001,20.280001,58300
2019-06-18,20.299999,20.299999,20.0,20.200001,20.200001,36025
2019-06-19,20.280001,20.440001,20.200001,20.34,20.34,50797
2019-06-20,20.299999,20.299999,20.0,20.0,20.0,43860
2019-06-24,19.82,19.84,19.5,19.799999,19.799999,17893
2019-06-25,19.92,20.0,19.68,19.860001,19.860001,27211
2019-06-26,19.82,19.98,19.799999,19.860001,19.860001,32088
2019-06-27,20.139999,20.16,19.9,19.98,19.98,46212
2019-07-01,20.1,20.200001,20.02,20.16,20.16,129045
2019-07-02,20.139999,20.540001,20.139999,20.48,20.48,222935
2019-07-03,20.48,20.6,20.379999,20.440001,20.440001,76029
2019-07-04,20.620001,20.620001,20.299999,20.299999,20.299999,130232
2019-07-08,20.120001,20.42,20.120001,20.32,20.32,114642
2019-07-09,20.280001,20.280001,20.139999,20.18,20.18,56500
2019-07-10,20.219999,20.32,20.200001,20.299999,20.299999,61895
2019-07-11,20.299999,20.68,20.26,20.66,20.66,140062
2019-07-15,20.959999,21.1,20.92,21.08,21.08,53097
2019-07-16,21.08,21.48,21.0,21.040001,21.040001,155270
2019-07-17,21.040001,21.059999,20.860001,20.940001,20.940001,67442
2019-07-18,20.940001,20.940001,20.799999,20.860001,20.860001,33694
2019-07-22,20.459999,20.98,20.459999,20.879999,20.879999,49561
2019-07-23,20.620001,20.700001,20.34,20.34,20.34,24690
2019-07-24,20.200001,20.219999,20.18,20.200001,20.200001,29035
2019-07-25,20.219999,20.219999,20.040001,20.040001,20.040001,34837
2019-07-29,20.200001,20.5,20.200001,20.5,20.5,44413
2019-07-30,20.5,20.76,20.200001,20.24,20.24,36191
2019-07-31,20.379999,20.379999,20.24,20.280001,20.280001,24158
2019-08-01,20.26,20.26,20.0,20.1,20.1,92455
2019-08-05,19.9,19.9,19.5,19.66,19.66,79673
2019-08-06,19.299999,19.299999,18.940001,18.940001,18.940001,106810
2019-08-07,19.02,19.120001,18.860001,18.98,18.98,103265
2019-08-08,19.02,19.18,18.940001,18.940001,18.940001,49126
2019-08-12,18.940001,18.940001,18.940001,18.940001,18.940001,0
2019-08-13,18.940001,18.940001,18.940001,18.940001,18.940001,0
2019-08-14,18.940001,18.940001,18.940001,18.940001,18.940001,0
2019-08-15,18.940001,18.940001,18.940001,18.940001,18.940001,0
2019-08-19,19.02,19.040001,18.959999,19.0,19.0,26753
2019-08-20,19.1,19.200001,19.0,19.200001,19.200001,25559
2019-08-21,18.959999,19.299999,18.76,18.780001,18.780001,50255
2019-08-22,18.6,18.6,18.1,18.299999,18.299999,99300
2019-08-26,17.82,18.4,17.82,17.940001,17.940001,50205
2019-08-27,18.299999,18.299999,17.879999,17.879999,17.879999,27814
2019-08-28,17.92,18.0,17.92,18.0,18.0,17130
2019-08-29,18.08,18.200001,18.0,18.0,18.0,56020
2019-09-02,18.0,18.5,18.0,18.5,18.5,17816
2019-09-03,18.459999,18.6,18.200001,18.200001,18.200001,45678
2019-09-04,18.0,18.5,18.0,18.5,18.5,56585
2019-09-05,18.6,18.74,18.299999,18.440001,18.440001,63628
2019-09-09,18.66,18.9,18.66,18.74,18.74,58378
2019-09-10,18.559999,18.66,18.200001,18.219999,18.219999,199605
2019-09-11,18.040001,18.059999,17.66,17.68,17.68,149723
2019-09-12,17.860001,18.120001,17.719999,17.799999,17.799999,75251
2019-09-16,17.799999,17.98,17.5,17.52,17.52,105612
2019-09-17,17.5,18.200001,17.5,17.799999,17.799999,205737
2019-09-18,17.9,18.0,17.76,17.76,17.76,141327
2019-09-19,17.799999,17.92,17.34,17.4,17.4,136403
2019-09-24,17.620001,17.98,17.620001,17.98,17.98,75581
2019-09-25,18.0,18.0,17.700001,17.719999,17.719999,64798
2019-09-26,17.700001,17.700001,17.559999,17.6,17.6,74536
2019-09-30,17.700001,18.08,17.700001,18.059999,18.059999,142789
2019-10-01,18.1,18.68,18.1,18.4,18.4,326629
2019-10-02,18.4,18.6,18.219999,18.34,18.34,224066
2019-10-03,18.200001,18.4,18.0,18.219999,18.219999,95481
2019-10-07,18.360001,18.360001,18.200001,18.219999,18.219999,83298
2019-10-08,18.1,18.1,17.82,17.84,17.84,80703
2019-10-09,17.9,18.200001,17.5,18.0,18.0,69980
2019-10-10,17.700001,17.780001,17.6,17.620001,17.620001,50579
2019-10-14,17.52,17.52,17.34,17.34,17.34,13872
2019-10-15,17.5,17.5,17.02,17.059999,17.059999,34979
2019-10-16,17.02,17.02,16.66,17.02,17.02,29692
2019-10-17,17.200001,17.299999,16.92,17.299999,17.299999,33949
2019-10-21,17.68,17.799999,17.48,17.780001,17.780001,63862
2019-10-22,17.719999,18.0,17.719999,17.940001,17.940001,88351
2019-10-23,17.84,18.4,17.799999,17.959999,17.959999,229033
2019-10-24,17.9,18.040001,17.700001,17.940001,17.940001,120184
2019-10-28,17.799999,17.799999,17.700001,17.700001,17.700001,46556
2019-10-29,17.68,17.68,17.26,17.32,17.32,51222
2019-10-30,17.120001,18.299999,17.120001,17.6,17.6,104658
2019-10-31,17.58,17.620001,17.32,17.32,17.32,45814
2019-11-04,16.959999,17.1,16.9,17.1,17.1,39392
2019-11-05,17.139999,17.200001,17.120001,17.120001,17.120001,29853
2019-11-06,17.059999,17.200001,17.040001,17.18,17.18,34244
2019-11-07,17.24,17.24,17.18,17.200001,17.200001,37582
2019-11-11,16.799999,16.959999,16.700001,16.700001,16.700001,100400
2019-11-12,16.6,16.879999,16.6,16.700001,16.700001,101485
2019-11-13,16.66,16.700001,16.540001,16.540001,16.540001,66990
2019-11-14,16.42,16.540001,16.34,16.34,16.34,73027
2019-11-18,16.32,16.799999,16.200001,16.780001,16.780001,188769
2019-11-19,16.799999,17.0,16.66,16.700001,16.700001,92751
2019-11-20,16.700001,16.799999,16.6,16.799999,16.799999,67354
2019-11-21,16.74,16.82,16.6,16.620001,16.620001,162300
2019-11-25,16.42,16.459999,16.120001,16.299999,16.299999,45337
2019-11-26,16.200001,16.299999,15.94,16.040001,16.040001,110631
2019-11-27,16.040001,16.1,15.96,16.0,16.0,40616
2019-11-28,15.8,16.26,15.8,16.26,16.26,102088
2019-12-02,16.26,16.440001,16.26,16.280001,16.280001,46657
2019-12-03,16.280001,16.360001,15.9,15.94,15.94,108366
2019-12-04,15.88,16.0,15.88,16.0,16.0,14784
2019-12-05,15.98,16.1,15.98,16.02,16.02,18481
2019-12-09,16.120001,16.26,16.120001,16.200001,16.200001,67368
2019-12-10,16.16,16.16,16.1,16.16,16.16,20391
2019-12-11,16.120001,16.379999,16.120001,16.16,16.16,81898
2019-12-12,16.18,16.18,15.82,15.86,15.86,68851
2019-12-16,16.0,16.1,15.98,16.1,16.1,56931
2019-12-17,16.1,16.68,16.1,16.639999,16.639999,196579
2019-12-18,16.639999,18.059999,16.639999,17.24,17.24,663149
2019-12-19,17.360001,17.4,17.1,17.280001,17.280001,151288
2019-12-23,17.860001,18.16,17.58,17.98,17.98,216383
2019-12-24,18.059999,18.700001,18.059999,18.6,18.6,376270
2019-12-25,18.76,18.940001,18.200001,18.219999,18.219999,311950
2019-12-26,18.200001,18.6,18.1,18.6,18.6,107719
2019-12-30,18.48,18.76,18.48,18.5,18.5,167959
2019-12-31,18.459999,18.459999,18.200001,18.299999,18.299999,77965
2020-01-01,18.4,18.4,18.299999,18.299999,18.299999,53688
2020-01-02,18.34,18.76,18.34,18.58,18.58,115423
2020-01-06,18.1,18.360001,17.84,18.1,18.1,112433
2020-01-07,18.200001,18.280001,18.0,18.0,18.0,105329
2020-01-08,17.860001,17.860001,17.200001,17.200001,17.200001,174741
2020-01-09,17.799999,17.959999,17.68,17.82,17.82,112646
